preprocessed_path,features_path,preprocessed_name,meta_key,species,file,url,local_path,RN,CU,NC,SR,CS,PL,SC,GS,GA,OD,NT,DA,NA,GC,SH,AU,LO,RG,ST,file_no_ext,meta_source_dir,GB,HY,RC,OS,OT,BH,ID,AG,IA,IP,AP,DA_parsed,GA_first,RG_first,group,split
preprocessed\Atlantic_Spotted_Dolphin\6102500C_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500C_chunk0.npz,6102500C_chunk0,6102500C,Atlantic Spotted Dolphin,6102500C.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500C.wav,dataset\Atlantic_Spotted_Dolphin\6102500C.wav,6102500C,1:13.226-1:14.747,1,60600,1.52,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500C,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500D_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500D_chunk0.npz,6102500D_chunk0,6102500D,Atlantic Spotted Dolphin,6102500D.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500D.wav,dataset\Atlantic_Spotted_Dolphin\6102500D.wav,6102500D,3:22.788-3:24.021,1,60600,1.232,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500D,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500E_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500E_chunk0.npz,6102500E_chunk0,6102500E,Atlantic Spotted Dolphin,6102500E.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500E.wav,dataset\Atlantic_Spotted_Dolphin\6102500E.wav,6102500E,3:24.277-3:25.394,1,60600,1.116,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500E,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500F_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500F_chunk0.npz,6102500F_chunk0,6102500F,Atlantic Spotted Dolphin,6102500F.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500F.wav,dataset\Atlantic_Spotted_Dolphin\6102500F.wav,6102500F,3:27.429-3:28.596,1,60600,1.166,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500F,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500G_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500G_chunk0.npz,6102500G_chunk0,6102500G,Atlantic Spotted Dolphin,6102500G.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500G.wav,dataset\Atlantic_Spotted_Dolphin\6102500G.wav,6102500G,4:2.136-4:3.593,1,60600,1.457,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500G,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500H_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500H_chunk0.npz,6102500H_chunk0,6102500H,Atlantic Spotted Dolphin,6102500H.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500H.wav,dataset\Atlantic_Spotted_Dolphin\6102500H.wav,6102500H,7:30.344-7:31.441,1,60600,1.096,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500H,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500I_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500I_chunk0.npz,6102500I_chunk0,6102500I,Atlantic Spotted Dolphin,6102500I.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500I.wav,dataset\Atlantic_Spotted_Dolphin\6102500I.wav,6102500I,11:30.566-11:32.360,1,60600,1.791,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500I,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500J_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500J_chunk0.npz,6102500J_chunk0,6102500J,Atlantic Spotted Dolphin,6102500J.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500J.wav,dataset\Atlantic_Spotted_Dolphin\6102500J.wav,6102500J,11:32.291-11:33.753,1,60600,1.462,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500J,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500K_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500K_chunk0.npz,6102500K_chunk0,6102500K,Atlantic Spotted Dolphin,6102500K.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500K.wav,dataset\Atlantic_Spotted_Dolphin\6102500K.wav,6102500K,12:16.953-12:17.817,1,60600,0.864,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500K,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500M_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500M_chunk0.npz,6102500M_chunk0,6102500M,Atlantic Spotted Dolphin,6102500M.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500M.wav,dataset\Atlantic_Spotted_Dolphin\6102500M.wav,6102500M,10.076-11.057,1,60600,0.982,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500M,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
preprocessed\Atlantic_Spotted_Dolphin\6102500N_chunk0.npy,features\Atlantic_Spotted_Dolphin\6102500N_chunk0.npz,6102500N_chunk0,6102500N,Atlantic Spotted Dolphin,6102500N.wav,https://whoicf2.whoi.edu/science/B/whalesounds/WhaleSounds/6102500N.wav,dataset\Atlantic_Spotted_Dolphin\6102500N.wav,6102500N,12:30.734-12:32.607,1,60600,1.872,Pemtek/K-H H3.1 L28,OTF,Stenella frontalis  BD15F,ANWBD15F,6-Aug-1961  BD15F | AugBD15F  1961BD15F,BD15F  Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Tape restreamed for use in comparative measurement analysis between Stenella species. Original cuts (61025001-00a) too short (1/10th sec) for analysis--believed to be longer cuts divided up into shorter sections.,04-Feb-2003,10+  BD15F,N38BD15F  W073BD15F,Bear 265,WAW,Sound Cut 1 CD | SHIV,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles  BD15F | Pulsed clicks  BD15F,6102500N,dataset\Atlantic_Spotted_Dolphin,,,,,,,,,,,,2003-02-04,ANWBD15F,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,ANWBD15F_AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,val
